Label  Volume(voxels)SurfArea(mm^2) Eccentricity   Elongation     Orientation    Centroid                      Axes Length                   Bounding Box                  
1      58861     1.62434        -0.61175       -0.5281        -1.072968      [0.86540, -2.3015, 1.74481]   [-0.7612, 0.31903, -0.249]    [90, 145, 159, 203, 44, 130]  
2      10096     1.46210        -2.06014       -0.3224        -0.384         [1.13376, -1.099, -0.1724]    [-0.8778, 0.04221, 0.58281]   [117, 135, 99, 155, 54, 93]   
3      23308     -1.1006        1.144723       0.90159        0.50249        [0.90085, -0.6837, -0.1228]   [-0.9357, -0.2678, 0.5303]    [90, 120, 113, 186, 91, 148]  
4      22815     -0.6916        -0.39675       -0.6871        -0.8452        [-0.6712, -0.012, -1.1173]    [0.23441, 1.65980, 0.74204]   [113, 145, 121, 166, 90, 142] 
5      5330      -0.1918        -0.8876        -0.7471        1.69245        [0.05080, -0.6369, 0.19091]   [2.10025, 0.12015, 0.61720]   [122, 148, 145, 164, 64, 100] 
6      6225      0.30017        -0.35224       -1.142         -0.349342      [-0.2088, 0.58662, 0.83898]   [0.93110, 0.28558, 0.88514]   [123, 150, 131, 149, 69, 106] 
7      35404     -0.7543        1.252868       0.51292        -0.29809       [0.4885, -0.0755, 1.13162]    [1.51981, 2.18557, -1.3964]   [90, 153, 91, 140, 72, 152]   
8      17420     -1.4441        -0.50446       0.16003        0.87616        [0.31563, -2.0222, -0.3062]   [0.82797, 0.23009, 0.76201]   [109, 150, 126, 150, 22, 73]  
9      2032      -0.2223        -0.20075       0.1865         0.4100         [0.19829, 0.11900, -0.6706]   [0.37756, 0.12182, 1.12948]   [137, 152, 115, 130, 51, 78]  
10     3435      1.19891        0.185156       -0.3752        -0.6387        [0.42349, 0.07734, -0.3438]   [0.04359, -0.6200, 0.69803]   [139, 160, 84, 114, 66, 91]   
11     3263      -0.447         1.224507       0.40349        0.5935         [-1.0949, 0.16938, 0.7405]    [-0.9537, -0.2662, 0.03261]   [136, 155, 114, 128, 36, 67]  
12     11432     3306           -1.3731        0.31515        0.8461         [-0.8595, 0.35054, -1.3122]   [-0.0386, -1.6157, 1.12141]   [135, 161, 81, 117, 42, 78]   
13     8036      0.40890        -0.02461       -0.7751        1.273755       [1.96710, -1.8579, 1.23616]   [1.6276, 0.33801, -1.1992]    [133, 160, 62, 83, 57, 88]    
14     2803      0.86334        -0.18092       -0.6039        -1.2300        [0.55053, 0.79280, -0.6235]   [0.52057, -1.1443, 0.80186]   [130, 149, 114, 128, 22, 44]  
15     9321      0.04656        -0.18656       -0.1017        0.86888        [0.75041, 0.52946, 0.13770]   [0.07782, 0.61838, 0.23249]   [131, 158, 81, 116, 27, 59]   
16     7032      0.68255        -0.31011       -2.4348        1.038824       [2.18697, 0.44136, -0.1001]   [-0.1364, -0.1190, 0.01740]   [131, 158, 62, 83, 40, 70]    
17     29478     -1.1220        -0.517         -0.9970        0.248799       [-0.2966, 0.49521, -0.1747]   [0.98633, 0.21353, 2.19069]   [91, 157, 78, 124, 84, 154]   
18     11651     -1.8963        -0.64691       0.90148        2.528325       [-0.248, 0.04366, -0.2263]    [1.33145, -0.2873, 0.68006]   [99, 136, 68, 90, 110, 147]   
19     7656      -0.3198        -1.27255       0.31354        0.503184       [1.29322, -0.1104, -0.6173]   [0.5627, 0.24073, 0.28066]    [125, 159, 86, 105, 93, 130]  
20     9183      -0.0731        1.160338       0.36949        1.90465        [1.11105, 0.65904, -1.6274]   [0.60231, 0.42028, 0.81095]   [122, 159, 73, 88, 81, 132]   
21     8382      1.0444         -0.40087       0.82400        -0.5623        [1.95487, -1.3319, -1.7606]   [-1.6507, -0.8905, -1.1191]   [125, 158, 63, 78, 85, 131]   
22     40612     1.95607        -0.32649       -1.3426        1.11438        [-0.5865, -1.2368, 0.87583]   [0.62336, -0.4349, 1.40754]   [96, 154, 36, 70, 80, 146]    
23     17612     0.12910        1.616949       0.50274        1.558805       [0.10940, -1.2197, 2.44936]   [-0.5457, -0.1988, -0.7003]   [116, 155, 35, 64, 53, 91]    
24     5534      -0.2033        0.242669       0.20183        0.66102        [1.79215, -0.1204, -1.2331]   [-1.1823, -0.6657, -1.6741]   [89, 114, 35, 65, 70, 94]     
25     4526      0.82502        -0.49821       -0.3109        -0.0018        [-1.39, -0.8613, 0.67471]     [0.61853, -0.4431, 1.81053]   [90, 103, 158, 183, 43, 71]   
26     5477      -1.3057        -0.34498       -0.2308        -2.79308       [1.93752, 0.36633, -1.0445]   [2.05117, 0.58566, 0.42952]   [91, 103, 113, 135, 111, 144] 
27     5674      -0.6069        0.106222       -1.52          0.79502        [-0.374, 0.13404, 1.20205]    [0.28474, 0.26246, 0.27649]   [90, 105, 136, 160, 44, 74]   
28     11984     -0.7332        0.836004       1.54335        0.75880        [0.88490, -0.8772, -0.8677]   [-1.440, 1.23225, -0.2541]    [90, 105, 134, 185, 60, 126]  
29     9744      1.39984        -0.78191       -0.4375        0.0954         [0.92145, 0.06075, 0.21112]   [0.01652, 0.1771, -1.1164]    [90, 103, 111, 174, 66, 118]  
30     10005     0.08092        -0.18657       -0.0568        0.49233        [-0.6806, -0.0845, -0.2973]   [0.4173, 0.78477, -0.9554]    [90, 108, 70, 113, 66, 120]   
31     22274     0.58591        2.065783       -1.4711        -0.8301        [-0.8805, -0.2790, 1.62284]   [0.0133, -0.6946, 0.62180]    [90, 113, 44, 92, 74, 143]    
32     4495      -0.5998        1.123412       0.30526        1.388779       [-0.6613, 3.03085, 0.82458]   [0.65458, -0.0511, -0.7255]   [90, 111, 36, 60, 88, 117]    
33     15914     -0.8677        -0.135         -0.79          0.282675       [-0.8260, 0.62108, 0.95612]   [-0.705, 1.19268, -0.2379]    [99, 143, 132, 165, 42, 77]   
34     5104      1.15528        0.438166       1.12232        -0.9970        [-0.1067, 1.45142, -0.6180]   [-2.0372, -1.9425, -2.5064]   [101, 126, 101, 129, 29, 53]  
35     3365      -2.1141        -0.41163       1.2785         -0.4422        [0.32352, -0.109, 0.00854]    [-0.1681, -0.1741, 0.46116]   [99, 125, 84, 103, 39, 69]    
36     13530     -1.1759        1.010127       0.92001        -0.1950        [0.80539, -0.7013, -0.537]    [0.1562, -0.1902, -0.4487]    [89, 122, 34, 87, 55, 84]     
37     2627      -0.6724        -0.55749       0.93916        -1.9433        [0.35249, -0.2364, 0.72781]   [0.51507, -2.7825, 0.58464]   [111, 131, 114, 128, 21, 42]  
38     7649      0.32427        0.021862       -0.4686        0.85328        [-0.4130, 1.83471, 0.56438]   [2.13782, -0.7855, -1.7559]   [111, 138, 81, 116, 25, 61]   
39     5700      0.71478        0.852704       0.03536        -1.5387        [-0.4478, 0.61798, -0.1841]   [-0.1159, -0.1754, -0.9339]   [109, 139, 62, 84, 44, 67]    
40     7325      -0.5330        -1.42655       1.76795        -0.4753        [0.47761, -1.0218, 0.79452]   [-1.8731, 0.92061, -0.0353]   [99, 138, 35, 64, 52, 71]     
41     2774      2.11060        -1.30653       0.07638        0.36723        [1.23289, -0.4228, 0.08646]   [-2.1424, -0.830, 0.451]      [119, 140, 135, 156, 67, 87]  
