   Label          Mean         Sigma      Skewness      Kurtosis       Entropy           Sum          5th%         95th%           Min           Max
       1     1.6243453     -0.611756      -0.52817       -1.0729       0.86540       -2.3015    1.74481176      -0.76120     0.3190390      -0.24937
       2    1.46210793     -2.060140     -0.322417       -0.3840       1.13376      -1.09989     -0.172428     -0.877858      0.042213      0.582815
       3     -1.100619      1.144723      0.901590       0.50249        0.9008          1427    -0.6837278      -0.12289     -0.935769      -0.26788
       4     0.5303554     -0.691660      -0.39675       -0.6871       -0.8452       -0.6712    -0.0126645      -1.11731     0.2344156      1.659802
       5     0.7420441      -0.19183      -0.88762      -0.74715       1.69245       0.05080      -0.63699      0.190915     2.1002551      0.120158
       6    0.61720310     0.3001703    -0.3522498       -1.1425       -0.3493      -0.20889     0.5866231     0.8389834     0.9311020      0.285587
       7     0.8851411     -0.754397      1.252868       0.51292       -0.2980       0.48851    -0.0755717      1.131629     1.5198168      2.185575
       8   -1.39649633     -1.444113      -0.50446      0.160037       0.87616      0.315634     -2.022201       -0.3062     0.8279746      0.230094
       9    0.76201118     -0.222328      -0.20075       0.18656       0.41005      0.198299     0.1190086    -0.6706622     0.3775637     0.1218212
      10     1.1294839     1.1989178    0.18515641       -0.3752       -0.6387       0.42349    0.07734006      -0.34385     0.0435968      -0.62000
      11    0.69803203     -0.447128     1.2245077       0.40349       0.59357      -1.09491     0.1693824     0.7405564     -0.953700     -0.266218
      12     0.0326145     -1.373117      0.315159       0.84616       -0.8595        0.3505     -1.312283      -0.03869     -1.615772      1.121417
      13      0.408900     -0.024616     -0.775161        1.2737       1.96710       -1.8579     1.2361640      1.627650    0.33801169      -1.19926
      14  0.8633453175     -0.180920    -0.6039206      -1.23005       0.55053      0.792806     -0.623530      0.520576     -1.144341      0.801861
      15      0.046567      -0.18656   -0.10174587      0.868886       0.75041       0.52946    0.13770120      0.077821     0.6183802      0.232494
      16     0.6825514     -0.310116     -2.434837      1.038824       2.18697       0.44136    -0.1001552      -0.13644     -0.119054      0.017409
      17      -1.12201      -0.51709       -0.9970       0.24879       -0.2966       0.49521    -0.1747031      0.986335     0.2135339      2.190699
      18     -1.896360     -0.646916      0.901486       2.52832       -0.2486       0.04366    -0.2263142      1.331457     -0.287307      0.680069
      19    -0.3198015     -1.272558      0.313547       0.50318       1.29322       -0.1104    -0.6173620     0.5627610     0.2407370      0.280665
      20     -0.073112     1.1603385     0.3694927       1.90465       1.11105       0.65904    -1.6274383     0.6023192     0.4202822      0.810951
      21     1.0444420     -0.400878     0.8240056       -0.5623       1.95487       -1.3319    -1.7606885        -1.650     -0.890555      -1.11911
      22     1.9560789     -0.326499      -1.34267       1.11438       -0.5865       -1.2368    0.87583892      0.623362     -0.434956      1.407540
      23     0.1291015     1.6169495     0.5027408      1.558805       0.10940       -1.2197    2.44936864      -0.54577     -0.198837      -0.70039
      24      -0.20339     0.2426694      0.201830      0.661020       1.79215       -0.1204     -1.233120      -1.18231     -0.665754      -1.67419
      25      0.825029      -0.49821      -0.31098      -0.00189       -1.3966       -0.8613    0.67471152      0.618539     -0.443171      1.810534
      26     -1.305726     -0.344987      -0.23083       -2.7930       1.93752       0.36633    -1.0445893      2.051173     0.5856620      0.429526
      27    -0.6069983      0.106222       -1.5256      0.795026       -0.3744       0.13404     1.2020548      0.284748     0.2624674      0.276499
      28     -0.733271      0.836004      1.543359       0.75880       0.88490        -0.877     -0.867787      -1.44087     1.2322530      -0.25417
      29    1.39984394      -0.78191      -0.43750       0.09542       0.92145      0.060750     0.2111247      0.016527     0.1771877      -1.11647
      30     0.0809271     -0.186578      -0.05682       0.49233       -0.6806       -0.0845    -0.2973618      0.417302     0.7847706      -0.95542
      31     0.5859104     2.0657833     -1.471156       -0.8301       -0.8805       -0.2790    1.62284908      0.013352     -0.694693       0.62180
      32     -0.599804     1.1234121      0.305267        1.3887       -0.6613       3.03085    0.82458462       0.65458     -0.051188       -0.7255
      33       -0.8677     -0.135977      -0.79726      0.282675       -0.8260       0.62108    0.95612170      -0.70584     1.1926860      -0.23794
      34    1.15528788     0.4381663     1.1223283       -0.9970       -0.1067      1.451429     -0.618036     -2.037201      -1.94258      -2.50644
