   Label          Mean         Sigma      Skewness      Kurtosis       Entropy           Sum          5th%         95th%           Min           Max
       1     1.6243453      -0.61175      -0.52817      -1.07296       0.86540       -2.3015    1.74481176      -0.76120      0.319039      -0.24937
       2    1.46210793      -2.06014      -0.32241      -0.38405       1.13376      -1.09989     -0.172428      -0.87785      0.042213      0.582815
       3   -1.10061917     1.1447237      0.901590       0.50249       0.90085       -0.6837     -0.122890      -0.93576     -0.267888      0.530355
       4    -0.6916607     -0.396753     -0.687172       -0.8452       -0.6712      -0.01266     -1.117310     0.2344156     1.6598021      0.742044
       5    -0.1918355     -0.887628    -0.7471582      1.692454       0.05080      -0.63699     0.1909154      2.100255     0.1201589      0.617203
       6    0.30017031     -0.352249     -1.142518       -0.3493       -0.2088      0.586623     0.8389834    0.93110208     0.2855873     0.8851411
       7    -0.7543979     1.2528681      0.512929        -0.298       0.48851      -0.07557     1.1316293      1.519816     2.1855754      -1.39649
       8     -1.444113      -0.50446      0.160037       0.87616       0.31563      -2.02220      -0.30620     0.8279746     0.2300947      0.762011
       9    -0.2223281     -0.200758    0.18656139       0.41005       0.19829      0.119008      -0.67066     0.3775637     0.1218212     1.1294839
      10    1.19891787     0.1851564      -0.37528       -0.6387       0.42349      0.077340    -0.3438536     0.0435968     -0.620000      0.698032
      11     -0.447128     1.2245077     0.4034916      0.593578       -1.0949      0.169382     0.7405564     -0.953700     -0.266218      0.032614
      12     -1.373117     0.3151593     0.8461606      -0.85951       0.35054       -1.3122    -0.0386955       -1.6157     1.1214177      0.408900
      13     -0.024616      -0.77516     1.2737559       1.96710       -1.8579       1.23616     1.6276507       0.33801     -1.199268      0.863345
      14     -0.180920     -0.603920      -1.23005      0.550537        0.7928      -0.62353     0.5205763     -1.144341     0.8018610      0.046567
      15    -0.1865697      -0.10174       0.86888       0.75041       0.52946       0.13770     0.0778211      0.618380     0.2324945      0.682551
      16      -0.31011      -2.43483      1.038824      2.186979       0.44136       -0.1001    -0.1364447      -0.11905    0.01740940      -1.12201
      17     -0.517094     -0.997026     0.2487991        -0.296       0.49521         -0.17     0.9863351      0.213533     2.1906997      -1.89636
      18    -0.6469166     0.9014868      2.528325      -0.24863       0.04366      -0.22631     1.3314571     -0.287307     0.6800698      -0.31980
      19     -1.272558     0.3135477      0.503184      1.293225       -0.1104       -0.6173    0.56276109      0.240737    0.28066507      -0.07311
