Label  Volume(voxels)SurfArea(mm^2) Eccentricity   Elongation     Orientation    Centroid                      Axes Length                   Bounding Box                  
1      47498     1.62434        -0.61175       -0.5281        -1.0729        [0.86540, -2.3015, 1.74481]   [-0.7612, 0.31903, -0.2493]   [138, 187, 147, 197, 37, 114] 
2      7357      1.46210        -2.06014       -0.3224        -0.3840        [1.13376, -1.0998, -0.1724]   [-0.8778, 0.04221, 0.58281]   [162, 177, 97, 151, 43, 78]   
3      19797     -1.1006        1.144723       0.90159        0.50249        [0.90085, -0.6837, -0.1228]   [-0.9357, -0.2678, 0.53035]   [139, 165, 97, 172, 77, 136]  
4      20975     -0.6916        -0.3967        -0.6871        -0.8452        [-0.6712, -0.0126, -1.1173]   [0.23441, 1.65980, 0.74204]   [159, 190, 107, 156, 76, 126] 
5      4395      -0.1918        -0.88762       -0.7471        1.69245        [0.05080, -0.6369, 0.19091]   [2.10025, 0.12015, 0.61720]   [167, 191, 140, 160, 52, 85]  
6      5027      0.30017        -0.35224       -1.1425        -0.3493        [-0.208, 0.58662, 0.83898]    [0.93110, 0.28558, 0.88514]   [169, 193, 123, 145, 57, 90]  
7      29493     -0.7543        1.252868       0.51292        -0.29809       [0.48851, -0.0755, 1.13162]   [1.51981, 2.18557, -1.3964]   [137, 194, 78, 135, 59, 139]  
8      14947     -1.4441        -0.50446       0.16003        0.87616        [0.31563, -2.0222, -0.3062]   [0.82797, 0.2300, 0.76201]    [153, 192, 131, 161, 14, 59]  
9      1639      -0.2223        -0.20075       0.18656        0.41005        [0.19829, 0.11900, -0.670]    [0.37756, 0.12182, 1.12948]   [179, 193, 117, 135, 40, 63]  
10     2274      1.1989         0.185156       -0.375         -0.638         [0.42349, 0.07734, -0.3438]   [0.04359, -0.6200, 0.69803]   [180, 197, 87, 117, 53, 73]   
11     3019      -0.4471        1.22450        0.40349        0.593          [-1.0949, 0.1693, 0.74055]    [-0.9537, -0.2662, 0.03261]   [177, 197, 118, 138, 26, 53]  
12     8014      -1.3731        0.315159       0.84616        -0.859         [0.35054, -1.3122, -0.0386]   [-1.6157, 1.12141, 0.4089]    [177, 200, 88, 126, 30, 62]   
13     4931      -0.0246        -0.77516       1.27375        1.967101       [-1.8579, 1.23616, 1.62765]   [0.33801, -1.1992, 0.8633]    [174, 197, 69, 93, 46, 71]    
14     2258      -0.1809        -0.60392       -1.2300        0.55053        [0.79280, -0.6235, 0.52057]   [-1.1443, 0.80186, 0.04656]   [171, 190, 125, 142, 13, 33]  
15     6882      -0.186         -0.10174       0.86888        0.75041        [0.5294, 0.13770, 0.07782]    [0.61838, 0.23249, 0.68255]   [173, 197, 92, 130, 18, 47]   
16     4512      -0.3101        -2.43483       1.03882        2.186          [0.44136, -0.1001, -0.1364]   [-0.1190, 0.01740, -1.1220]   [171, 194, 74, 97, 32, 56]    
17     24202     -0.5170        -0.99702       0.24879        -0.29664       [0.4952, -0.1747, 0.98633]    [0.21353, 2.19069, -1.8963]   [138, 195, 63, 119, 69, 140]  
18     9973      -0.6469        0.901486       2.52832        -0.24863       [0.04366, -0.2263, 1.33145]   [-0.2873, 0.68006, -0.3198]   [144, 178, 57, 81, 93, 132]   
