Label  Volume(voxels)SurfArea(mm^2) Eccentricity   Elongation     Orientation    Centroid                      Axes Length                   Bounding Box                  
1      48863     1.62434        -0.6117        -0.5281        -1.0729        [0.86540, -2.3015, 1.74481]   [-0.7612, 0.31903, -0.2493]   [89, 144, 157, 196, 41, 128]  
2      9396      1.46210        -2.06014       -0.3224        -0.3840        [1.13376, -1.0998, -0.1724]   [-0.877, 0.04221, 0.58281]    [118, 136, 97, 151, 51, 89]   
3      24599     -1.1006        1.144723       0.90159        0.50249        [0.90085, -0.683, -0.1228]    [-0.9357, -0.2678, 0.53035]   [88, 119, 111, 179, 87, 154]  
4      21517     -0.6916        -0.39675       -0.6871        -0.8452        [-0.6712, -0.0126, -1.1173]   [0.23441, 1.6598, 0.74204]    [112, 145, 117, 161, 88, 139] 
5      4959      -0.1918        -0.88762       -0.7471        1.692454       [0.05080, -0.6369, 0.19091]   [2.10025, 0.1201, 0.61720]    [123, 148, 143, 161, 65, 97]  
6      5718      0.30017        -0.35224       -1.1425        -0.34934       [-0.2088, 0.58662, 0.83898]   [0.93110, 0.28558, 0.88514]   [125, 150, 129, 146, 66, 102] 
7      33806     -0.7543        1.252868       0.51292        -0.29809       [0.48851, -0.0755, 1.1316]    [1.51981, 2.18557, -1.3964]   [89, 154, 86, 137, 69, 156]   
8      13785     -1.4441        -0.50446       0.16003        0.8761689      [0.31563, -2.0222, -0.3062]   [0.82797, 0.23009, 0.76201]   [106, 152, 126, 149, 25, 70]  
9      2066      -0.2223        -0.20075       0.1865         0.41005        [0.19829, 0.11900, -0.670]    [0.3775, 0.12182, 1.12948]    [137, 154, 113, 129, 50, 76]  
10     2750      1.19891        0.18515        -0.3752        -0.6387        [0.42349, 0.07734, -0.3438]   [0.0435, -0.6200, 0.69803]    [139, 158, 84, 112, 65, 88]   
11     3208      -0.4471        1.224507       0.40349        0.59357        [-1.0949, 0.16938, 0.74055]   [-0.953, -0.2662, 0.03261]    [136, 156, 114, 128, 37, 65]  
12     9291      -1.3731        0.315159       0.84616        -0.8595        [0.35054, -1.3122, -0.0386]   [-1.6157, 1.12141, 0.40890]   [136, 159, 81, 116, 42, 76]   
13     5539      -0.0246        -0.77516       1.27375        1.967101       [-1.8579, 1.23616, 1.62765]   [0.33801, -1.1992, 0.86334]   [132, 155, 62, 83, 58, 84]    
14     2340      -0.1809        -0.60392       -1.2300        0.55053        [0.79280, -0.6235, 0.52057]   [-1.1443, 0.80186, 0.04656]   [128, 148, 112, 128, 25, 44]  
15     7098      -0.186         -0.10174       0.86888        0.75041        [0.52946, 0.13770, 0.07782]   [0.61838, 0.23249, 0.68255]   [130, 154, 80, 115, 31, 59]   
16     4317      -0.3101        -2.43483       1.03882        2.186979       [0.44136, -0.1001, -0.1364]   [-0.119, 0.01740, -1.122]     [129, 152, 62, 82, 45, 68]    
17     26141     -0.5170        -0.9970        0.248          -0.29664       [0.49521, -0.1747, 0.98633]   [0.21353, 2.19069, -1.8963]   [90, 157, 74, 121, 81, 154]   
18     9867      -0.6469        0.901486       2.52832        -0.24863       [0.04366, -0.2263, 1.33145]   [-0.2873, 0.68006, -0.3198]   [98, 134, 66, 88, 106, 144]   
19     5834      -1.2725        0.313547       0.50318        1.293225       [-0.1104, -0.6173, 0.56276]   [0.240, 0.28066, -0.0731]     [124, 157, 84, 103, 90, 124]  
20     6662      1.16033        0.369492       1.90465        1.111056       [0.6590, -1.6274, 0.60231]    [0.42028, 0.81095, 1.04444]   [120, 155, 73, 86, 78, 124]   
21     5918      -0.4008        0.824005       -0.5623        1.95487        [-1.3319, -1.7606, -1.6507]   [-0.890, -1.1191, 1.95607]    [123, 152, 63, 77, 81, 123]   
22     31341     -0.3264        -1.34267       1.11438        -0.5865        [-1.2368, 0.87583, 0.62336]   [-0.4349, 1.4075, 0.12910]    [94, 147, 36, 69, 77, 143]    
23     12609     1.61694        0.502740       1.55880        0.109402       [-1.2197, 2.44936, -0.545]    [-0.1988, -0.700, -0.2033]    [116, 149, 37, 65, 50, 87]    
24     4943      0.24266        0.201830       0.66102        1.79215        [-0.1204, -1.233, -1.1823]    [-0.665, -1.6741, 0.82502]    [90, 114, 37, 65, 66, 90]     
25     3406      -0.4982        -0.31098       -0.001         -1.3966        [-0.8613, 0.67471, 0.61853]   [-0.4431, 1.81053, -1.3057]   [90, 101, 153, 177, 39, 68]   
