   Label          Mean         Sigma      Skewness      Kurtosis       Entropy           Sum          5th%         95th%           Min           Max
       1     1.6243453      -0.61175     -0.528171      -1.07296       0.86540      -2.30153      1.744811      -0.76120      0.319039       -0.2493
       2     1.4621079      -2.06014     -0.322417       -0.3840       1.13376       -1.0998     -0.172428      -0.87785      0.042213       0.58281
       3     -1.100619      1.144723       0.90159      0.502494       0.90085      -0.68372     -0.122890      -0.93576     -0.267888       0.53035
       4      -0.69166      -0.39675      -0.68717      -0.84520       -0.6712       -0.0126    -1.1173103      0.234415     1.6598021       0.74204
       5     -0.191835      -0.88762     -0.747158      1.692454       0.05080      -0.63699     0.1909154      2.100255      0.120158      0.617203
       6      0.300170      -0.35224      -1.14251       -0.3493       -0.2088       0.58662    0.83898341      0.931102     0.2855873       0.88514
       7      -0.75439      1.252868     0.5129298       -0.2980       0.48851       -0.0755     1.1316293      1.519816      2.185575       -1.3964
       8     -1.444113      -0.50446       0.16003      0.876168       0.31563      -2.02220      -0.30620      0.827974      0.230094      0.762011
       9      -0.22232      -0.20075     0.1865613       0.41005        0.1982       0.11900      -0.67066      0.377563       0.12182      1.129483
      10      1.198917      0.185156       -0.3752       -0.6387        0.4234       0.07734      -0.34385        0.0435      -0.62000       0.69803
      11       -0.4471       1.22450     0.4034916      0.593578       -1.0949       0.16938    0.74055645      -0.95370      -0.26621        0.0326
      12       -1.3731      0.315159      0.846160      -0.85951       0.35054       -1.3122       -0.0386        -1.615      1.121417       0.40890
      13       -0.0246      -0.77516     1.2737559      1.967101       -1.8579       1.23616        1.6276       0.33801       -1.1992       0.86334
      14     -0.180920      -0.60392      -1.23005       0.55053       0.79280      -0.62353     0.5205763      -1.14434     0.8018610      0.046567
      15      -0.18656      -0.10174     0.8688861       0.75041       0.52946       0.13770    0.07782112       0.61838     0.2324945       0.68255
      16       -0.3101      -2.43483     1.0388246       2.18697       0.44136       -0.1001       -0.1364       -0.1190      0.017409       -1.1220
      17    -0.5170944      -0.99702     0.2487991        -0.296       0.49521      -0.17470     0.9863351      0.213533      2.190699      -1.89636
      18     -0.646916      0.901486     2.5283257       -0.2486       0.04366      -0.22631     1.3314571     -0.287307      0.680069      -0.31980
      19     -1.272558      0.313547     0.5031848       1.29322       -0.1104      -0.61736     0.5627610      0.240737     0.2806650      -0.07311
      20      1.160338      0.369492     1.9046587      1.111056       0.65904       -1.6274      0.602319       0.42028      0.810951       1.04444
      21      -0.40087      0.824005     -0.562305       1.95487        -1.331       -1.7606      -1.65072       -0.8905      -1.11911       1.95607
      22     -0.326499      -1.34267        1.1143      -0.58652       -1.2368       0.87583     0.6233621       -0.4349      1.407540       0.12910
      23      1.616949      0.502740     1.5588055      0.109402       -1.2197       2.44936     -0.545774       -0.1988      -0.70039       -0.2033
      24    0.24266944      0.201830     0.6610202      1.792158       -0.1204      -1.23312     -1.182318      -0.66575     -1.674195       0.82502
      25      -0.49821      -0.31098      -0.00189       -1.3966       -0.8613       0.67471      0.618539     -0.443171       1.81053     -1.305726
      26     -0.344987      -0.23083      -2.79308      1.937528       0.36633      -1.04458      2.051173    0.58566200     0.4295261     -0.606998
      27      0.106222      -1.52568      0.795026       -0.3744       0.13404      1.202054      0.284748     0.2624674      0.276499     -0.733271
      28     0.8360047      1.543359     0.7588056      0.884908       -0.8772      -0.86778      -1.44087      1.232253      -0.25417      1.399843
      29      -0.78191      -0.43750     0.0954250       0.92145       0.06075      0.211124      0.016527      0.177187      -1.11647      0.080927
      30       -0.1865      -0.05682      0.492336      -0.68067       -0.0845       -0.2973   0.417302004      0.784770     -0.955425       0.58591
      31   2.065783320      -1.47115     -0.830171      -0.88057       -0.2790      1.622849     0.0133526      -0.69469     0.6218035      -0.59980
      32     1.1234121      0.305267     1.3887793      -0.66134       3.03085      0.824584     0.6545801      -0.05118     -0.725597      -0.86776
      33      -0.13597      -0.79726     0.2826757      -0.82609       0.62108      0.956121      -0.70584     1.1926860      -0.23794    1.15528788
      34      0.438166      1.122328      -0.99701      -0.10679       1.45142      -0.61803      -2.03720     -1.942589      -2.50644     -2.114163
      35      -0.41163      1.278528     -0.442229      0.323527       -0.1099      0.008548      -0.16819      -0.17418      0.461164      -1.17598
      36     1.0101271      0.920017     -0.195057      0.805393       -0.7013      -0.53722     0.1562638      -0.19022      -0.44873      -0.67244
      37      -0.55749      0.939168      -1.94332       0.35249       -0.2364      0.727813     0.5150736     -2.782534      0.584646      0.324274
      38     0.0218628      -0.46867     0.8532812      -0.41302       1.83471      0.564382     2.1378280      -0.78553       -1.7559       0.71478
      39    0.85270406      0.035360      -1.53879       -0.4478       0.61798      -0.18417      -0.11598      -0.17545     -0.933914      -0.53302
      40     -1.426555      1.767959     -0.475372        0.4776       -1.0218      0.794528      -1.87316     0.9206151      -0.03536      2.110605
      41      -1.30653      0.076380     0.3672318      1.232899        -0.422        0.0864     -2.142466      -0.83016     0.4516159      1.104174
      42      -0.28173      2.056355     1.7602492       -0.0606       -2.4135       -1.7775     -0.777858      1.115841     0.3102722      -2.09424
      43      -0.22876      1.613361    -0.3748046       -0.7499       2.05462       0.05340      -0.47915      0.350167     0.0171647      -0.42914
