   Label          Mean         Sigma      Skewness      Kurtosis       Entropy           Sum          5th%         95th%           Min           Max
       1      1.624345      -0.61175      -0.52817       -1.0729       0.86540       -2.3015     1.7448117       -0.7612      0.319039       -0.2493
       2      1.462107      -2.06014     -0.322417       -0.3840       1.13376       -1.0998    -0.1724282      -0.87785     0.0422137      0.582815
       3    -1.1006191      1.144723     0.9015907      0.502494       0.90085       -0.6837     -0.122890      -0.93576     -0.267888      0.530355
       4      -0.69166       -0.3967      -0.68717       -0.8452       -0.6712       -0.0126     -1.117310      0.234415    1.65980217      0.742044
       5      -0.19183      -0.88762     -0.747158       1.69245        0.0508       -0.6369      0.190915      2.100255      0.120158      0.617203
       6      0.300170      -0.35224      -1.14251      -0.34934       -0.2088       0.58662      0.838983      0.931102     0.2855873      0.885141
       7      -0.75439      1.252868     0.5129298       -0.2980       0.48851          5554    -0.0755717      1.131629     1.5198168      2.185575
       8      -1.39649      -1.44411     -0.504465      0.160037       0.87616       0.31563      -2.02220       -0.3062          0.82       0.23009
       9      0.762011      -0.22232      -0.20075      0.186561       0.41005       0.19829      0.119008       -0.6706      0.377563       0.12182
      10     1.1294839      1.198917     0.1851564       -0.3752        -0.638       0.42349     0.0773400      -0.34385     0.0435968      -0.62000
      11      0.698032      -0.44712     1.2245077      0.403491       0.59357       -1.0949     0.1693824       0.74055      -0.95370       -0.2662
      12     0.0326145      -1.37311     0.3151593       0.84616       -0.8595      0.350545     -1.312283      -0.03869      -1.61577      1.121417
      13     0.4089005      -0.02461     -0.775161      1.273755       1.96710      -1.85798      1.236164      1.627650       0.33801      -1.19926
      14     0.8633453      -0.18092      -0.60392       -1.2300       0.55053      0.792806      -0.62353     0.5205763      -1.14434      0.801861
      15       0.04656      -0.18656     -0.101745      0.868886       0.75041      0.529465      0.137701      0.077821      0.618380     0.2324945
      16      0.682551      -0.31011     -2.434837      1.038824       2.18697      0.441364      -0.10015      -0.13644       -0.1190     0.0174094
      17    -1.1220187      -0.51709     -0.997026       0.24879       -0.2966       0.49521      -0.17470      0.986335      0.213533       2.19069
      18     -1.896360      -0.64691     0.9014868       2.52832       -0.2486       0.04366       -0.2263      1.331457      -0.28730      0.680069
      19      -0.31980       -1.2725       0.31354       0.50318       1.29322       -0.1104      -0.61736      0.562761     0.2407370      0.280665
      20      -0.07311      1.160338      0.369492       1.90465       1.11105       0.65904     -1.627438      0.602319      0.420282      0.810951
      21      1.044442      -0.40087      0.824005       -0.5623       1.95487       -1.3319     -1.760688      -1.65072     -0.890555      -1.11911
      22     1.9560789       -0.3264    -1.3426757       1.11438       -0.5865        -23069      -1.23685      0.875838      0.623362       -0.4349
      23      1.407540      0.129101     1.6169495      0.502740       1.55880       0.10940     -1.219744       2.44936      -0.54577       -0.1988
      24     -0.700398        -0.203      0.242669       0.20183       0.66102      1.792158      -0.12046      -1.23312      -1.18231      -0.66575
      25   -1.67419580      0.825029      -0.49821       -0.3109       -0.0018      -1.39662     -0.861316       0.67471      0.618539       -0.4431
      26      1.810534      -1.30572      -0.34498       -0.2308        -2.793       1.93752     0.3663320      -1.04458    2.05117344      0.585662
      27     0.4295261      -0.60699     0.1062227      -1.52568        0.7950      -0.37443      0.134048    1.20205486       0.28474      0.262467
      28      0.276499      -0.73327      0.836004      1.543359       0.75880       0.88490     -0.877281       -0.8677     -1.440876       1.23225
      29      -0.25417      1.399843      -0.78191      -0.43750       0.09542       0.92145    0.06075019      0.211124     0.0165275       0.17718
      30     -1.116470      0.080927     -0.186578      -0.05682       0.49233      -0.68067     -0.084508     -0.297361      0.417302      0.784770
      31     -0.955425      0.585910     2.0657833        -1.471       -0.8301      -0.88057      -0.27909     1.6228490      0.013352      -0.69469
      32      0.621803      -0.59980      1.123412      0.305267       1.38877      -0.66134      3.030857     0.8245846      0.654580    -0.0511884
      33      -0.72559      -0.86776    -0.1359773       -0.7972       0.28267      -0.82609      0.621082      0.956121      -0.70584      1.192686
      34      -0.23794       1.15528      0.438166       1.12232       -0.9970      -0.10679       1.45142     -0.618036      -2.03720      -1.94258
      35     -2.506440      -2.11416     -0.411639      1.278528       -0.4422      0.323527      -0.10999     0.0085489      -0.16819     -0.174180
      36     0.4611640      -1.17598    1.01012717      0.920017       -0.1950      0.805393     -0.701344     -0.537223      0.156263      -0.19022
      37      -0.44873      -0.67244      -0.55749       0.93916       -1.9433      0.352494      -0.23643     0.7278134      0.515073      -2.78253
      38      0.584646      0.324274     0.0218628      -0.46867       0.85328      -0.41302      1.834717     0.5643828      2.137828     -0.785533
      39     -1.755925       0.71478     0.8527040      0.035360       -1.5387      -0.44789       0.61798     -0.184176      -0.11598     -0.175458
      40      -0.93391      -0.53302      -1.42655      1.767959       -0.4753      0.477610     -1.021885    0.79452823      -1.87316      0.920615
      41      -0.03536      2.110605    -1.3065340       0.07638       0.36723       1.23289      -0.42285      0.086464      -2.14246      -0.83016
      42      0.451615      1.104174       -0.2817      2.056355        1.7602       -0.0606  -2.413503001      -1.77756    -0.7778588      1.115841
      43      0.310272      -2.09424      -0.22876       1.61336       -0.3748        -0.749  2.0546241025      0.053409    -0.4791570      0.350167
      44      0.017164      -0.42914     1.2084563       1.11570         0.840       -0.1028     1.1469003      -0.04970     0.4666432      1.033686
      45     0.8088443      1.789754      0.451284      -1.68405        -1.160       1.35010    -0.3312831      0.386539     -0.851455      1.000881
      46     -0.384832     1.4581082      -0.53223       1.11813         0.674       -0.7223    1.09899633      -0.90163     -0.822467      0.721711
      47     -0.625342      -0.59384      -0.34390       -1.0001       1.04499      0.608514      -0.06932      -0.10839      0.450155      1.765335
      48     0.8709698      -0.50845      0.777419      -0.11877       -0.1989      1.866471      -0.41893      -0.47918      -1.95210       -1.4023
      49      0.451122      -0.69492     0.5154138      -1.11487       -0.7673       0.67457      1.460892       0.59247      1.197830       1.70459
      50      1.040089      -0.91844    -0.1053447        0.6301       -0.4148       0.45194     -1.579156       -0.8286     0.5288797       -2.2370
      51      -1.10771      -0.01771    -1.7193944      0.057120       -0.7995       -0.2915     -0.258982      0.189293      -0.56378       0.08968
      52      -0.60115      0.556073     1.6938091      0.196869       0.16986       -1.1640     0.6933662      -0.75806     -0.808847      0.557439
      53       0.18103      1.107175      1.442876       -0.5396       0.12837       1.76041      0.966539        0.7130      1.306206       -0.6046
      54      0.636583      1.409253      1.620912      -0.80618       -0.2516       0.38271      -0.28899       -0.3918     0.6840013        -0.353
      55      -1.78791      0.361847      -0.42449      -0.73153       -1.5657       1.01382     -2.227112      -1.69933     -0.275846       1.22895
      56       1.30970      -1.15498     -0.177632      -1.51045       1.01120       -1.4765     -0.143195        1.0329      -0.22241       1.47016
      57      -0.87000      0.369190     0.8532821       -0.1397        1.3863       0.54812      -1.63744       3.95860     0.6486436       0.10734
      58      -1.39881      0.081767     -0.459942       0.64435        0.3716       1.85300    0.14225137      0.513505     0.3724568       -0.1484
      59        -0.183       1.10100      0.780027       -0.6294       -1.1134       -0.0674     1.1614399       -0.0275     1.7464350       -0.7750
      60    0.14164053      -2.51630    -0.5956678      -0.30912       0.51093      1.710661     0.0349435      1.453917     0.6616810      0.986352
      61     -0.466154      1.384991     -1.072964       0.49515       -0.9520      -0.51814     -1.461403   -0.51634790     0.3511168     -0.068770
      62      -1.34776      1.470739     0.3372209       1.00806       0.78522       -0.6648     -1.945046      -0.91542     1.2251558       -1.0535
      63      0.816043      -0.61240     0.3931092       -1.8239       1.16707      -0.03966      0.885825     0.1898616       0.79806     -0.101932
      64     0.7433565      -1.50957      -1.08071      0.725474       -0.0391      -0.22875      -0.17961     0.5017251      -0.59334     0.5103075
      65     -0.915791      -0.40725     0.9849516      1.071252       -1.0971      0.838634     -1.039182      0.733023     -1.898812      -1.11711
      66     -0.508972        -0.166     1.4236144      0.903999       1.57546      1.206607     -0.282863     -0.266326     1.0689716      0.040371
      67     -0.156993     -1.335202     -0.106460      -2.79099       -0.4561      -0.97989     0.6925743    -0.4786723     -0.329051    1.34710546
      68     -1.049067      0.316658     -1.895266      0.089729       0.41026       0.85987      -0.89868      0.319656      0.318154      -0.01923
      69     0.1500162      0.463534     0.3978804       -0.9960       -1.1958       2.50598     1.9197922      -1.39169     0.4502177      0.627437
      70      0.751337      0.140395      -0.92687      -0.18242        -0.491      0.134373      -0.26837     -0.131675      1.018552     1.2305581
      71     -1.181103      -0.45993       -0.7907      1.223722       -0.0593      1.448989     -0.477580      0.025999     -1.348696      1.302535
      72     -0.362612      -1.48515     -0.592461      -2.30490        -0.031      0.112487      0.288078     1.4981081      -0.30097     0.8074559
      73      0.312238      -0.19332      -2.07680       0.94750       -0.5039       0.01795     -1.270460       0.28299       0.10803       0.02941
      74       -0.1347      1.049218      0.966220       0.72591       3.32107       -0.6002      -0.37951      -1.01480     0.4359861       -0.6874
      75     -2.698361      -1.21333     0.0722518      1.009787       -1.5569      -0.61244      -0.13935    -0.7285374      0.531163      0.004000
      76      0.321265      -0.72521      1.536536      -0.00037       1.29354        -0.438     0.5900394       -0.6793     -0.950909       -0.7043
      77      -0.04586      -0.21873      1.539207      -1.14870        -1.090       1.70018    0.60878365       -1.8814     0.4972690       0.23733
      78     -2.144444       -0.3695      -0.01745        0.7314       0.95449      0.095746     1.0334508     -0.146273     -0.857496      -0.93418
      79     0.5426452       -1.9581      0.677807        -1.106       -0.3592      0.505381      1.217940     -1.940680       -0.8061     0.0490616
      80      -0.59608      0.861623      -2.08639      0.361801        0.4259      0.049080      1.102236     -1.229574       1.10861     -0.702920
      81      0.725550       -0.3242       0.81434      0.780469       -1.4640       -0.1544     -0.092432       -0.2378      -0.75566       1.85143
      82      0.209096      1.555015      -0.56914      -1.06179       0.13224      -0.56323      2.390145     0.2454228      1.152599    -0.2242357
      83     -0.326061        -0.030     0.3557172      0.849586       -0.1221      -0.68085      -1.06787     -0.076679      0.572962     0.4579470
      84     -0.017817      -0.60013     0.1467652       0.57180       -0.0368      0.112368     -0.150504     0.9154992      -0.43820      0.185535
      85     0.3944280      0.725522      1.495884      0.675453       0.59921        -1.470      0.606403      2.293717     -0.830010      -1.01951
      86     -0.214653      1.021248     0.5247504       -0.4771        -0.035      1.037038      0.672619     2.4288769      1.005686      0.353567
      87     0.6147262      -0.34898      -0.97777       0.17195       0.49056      -1.39528      -0.52235     -0.369255      0.265642     -0.260466
      88     0.4450967      0.098112      1.060327      -1.71116       1.65712      1.417674     0.0503170       0.65032      0.606548       -0.7372
      89      0.164665      0.778174     0.3098167       1.05132       0.09499       0.08075      -0.76780       -0.3645      -0.45971       1.70548
      90      0.240505      -0.99942      0.398598      -0.19200       -3.0537       0.47985     -1.552698      0.578464     -0.961263       -1.4583
      91     0.4943416     -1.494193     -0.446699       0.20437       0.61223      0.744884     -0.036281    -0.8323953     1.9238154     -0.605981
      92      1.803588      -0.45252   1.161285693      1.069965       -1.0455       0.35528     0.7553920        0.7009     -0.198937       0.30196
      93     -0.394689      -1.17181      0.984012      -0.55968        1.3797       0.60245     -0.892646      -0.16119     -0.286384      -0.87088
      94    0.50142958      -0.47861     1.6316915         0.860       -0.8801      -0.01900     -0.226760       -1.5645     0.9312556      0.949808
      95      0.925501      -0.45698     1.0689859      -0.20975       0.93514      1.812527      0.140109     -1.419148      -0.31690     0.6409858
      96     1.2198743       -1.1337      -0.19054      0.233339       0.43499      0.910423      -0.94843      -0.42347      1.007966       0.39233
      97    0.44838065      1.125323     0.1040533      0.528003       -0.3145      -1.34501     -1.295257      0.074320      -0.19956       -0.6546
      98    0.31801429      -0.89027       0.11133      -0.01952        -0.839      -2.29820     1.4565273      0.316637     -2.664125      -0.42642
      99     0.3937877      -0.22814      0.580330       -0.9732       0.17516      -0.05348     -0.183061     -0.221028     0.1997595    0.93272141
     100     -0.530119      -0.40724     0.1605649      -0.12014       0.38560       0.71829     1.2911889       -0.1164     -2.277297      -0.06962
     101    0.35387042      -0.18695     -0.153236      -2.43250       0.50798      -0.32403     -1.511076      -0.87142      -0.86482      0.608749
     102     0.5616380     1.5147503     0.6479248      -1.35164        -1.409      1.130725     1.5666862     -0.237748      0.558802    -1.5048912
     103      -1.94392      -1.17402       -0.3571      -0.52137       -0.2301      -0.49101      0.679301      1.427546      0.036197       2.02999
     104     -0.634404      -0.52510     0.3877346      -0.35479       1.17705      -0.64110      1.322693     0.1941750      2.565452     -0.464114
     105     -0.202693      0.145651      -2.18102      0.602265       0.48084      0.109318      -1.54439    -1.5465610      0.586618      1.175178
     106     1.5944646      -0.89544      -1.03079       -0.2719        -1.975      -0.58893     0.8517896     1.6346025     0.2791554     1.6405536
     107    0.41087293      0.191363      -0.17144      0.186937       -0.2548        -17650     -0.140910       -0.6618      0.259031       0.01444
     108    -1.4795800      -0.24070      -0.85567      -2.04820        0.4838      1.558688     2.3697301      1.562419     -0.870801      1.175244
     109     1.1198990      -1.98782     0.8612885      0.627177        0.1628      0.288616     0.0583073      1.631935     -0.401788       -0.1999
     110       0.00738      0.275664     -1.763249      1.387973       0.22619       0.56912    0.19731599       -0.1864     -0.355241      0.096114
     111      0.152052      1.155261     0.3460577      -0.13348       1.98656       -1.2794    -1.3402091      0.354602     -0.212373       -1.7745
