   Label          Mean         Sigma      Skewness      Kurtosis       Entropy           Sum          5th%         95th%           Min           Max
       1      1.624345        -0.611      -0.52817      -1.07296       0.86540       -2.3015    1.74481176      -0.76120     0.3190390      -0.24937
       2    1.46210793     -2.060140       -0.3224      -0.38405       1.13376       -1.0998    -0.1724282     -0.877858     0.0422137       0.58281
       3    -1.1006191     1.1447237      0.901590      0.502494       0.90085       -0.6837    -0.1228902      -0.93576     -0.267888      0.530355
       4    -0.6916607     -0.396753      -0.68717       -0.8452       -0.6712      -0.01266     -1.117310     0.2344156     1.6598021      0.742044
       5      -0.19183      -0.88762      -0.74715      1.692454       0.05080       -0.6369     0.1909154      2.100255     0.1201589      0.617203
       6    0.30017031      -0.35224      -1.14251      -0.34934        -0.208      0.586623     0.8389834      0.931102     0.2855873      0.885141
       7    -0.7543979     1.2528681    0.51292982      -0.29809       0.48851      -0.07557     1.1316293     1.5198168     2.1855754       -1.3964
       8     -1.444113      -0.50446      0.160037      0.876168       0.31563       -2.0222      -0.30620      0.827974     0.2300947      0.762011
       9    -0.2223281      -0.20075      0.186561       0.41005       0.19829      0.119008     -0.670662      0.377563     0.1218212      1.129483
      10     1.1989178      0.185156     -0.375284      -0.63873       0.42349       0.07734     -0.343853      0.043596     -0.620000      0.698032
      11     -0.447128      1.224507    0.40349164      0.593578       -1.0949       0.16938     0.7405564      -0.95370     -0.266218      0.032614
      12     -1.373117      0.315159     0.8461606       -0.8595       0.35054       -1.3122      -0.03869      -1.61577     1.1214177      0.408900
      13      -0.02461     -0.775161      1.273755      1.967101       -1.8579       1.23616      1.627650      0.338011    -1.1992680      0.863345
      14     -0.180920     -0.603920      -1.23005       0.55053        0.7928       -0.6235     0.5205763      -1.14434     0.8018610      0.046567
      15      -0.18656      -0.10174       0.86888       0.75041       0.52946       0.13770     0.0778211      0.618380     0.2324945       0.68255
      16      -0.31011      -2.43483      1.038824      2.186979       0.44136       -0.1001     -0.136444       -0.1190     0.0174094      -1.12201
      17     -0.517094     -0.997026     0.2487991      -0.29664       0.49521       -0.1747     0.9863351      0.213533     2.1906997      -1.89636
      18    -0.6469166     0.9014868      2.528325       -0.2486       0.04366      -0.22631     1.3314571      -0.28730     0.6800698       -0.3198
      19     -1.272558     0.3135477     0.5031848       1.29322       -0.1104       -0.6173    0.56276109      0.240737    0.28066507      -0.07311
      20     1.1603385     0.3694927     1.9046587       1.11105       0.65904       -1.6274    0.60231928      0.420282    0.81095167      1.044442
      21      -0.40087     0.8240056      -0.56230      1.954878       -1.3319        -1.760    -1.6507212      -0.89055    -1.1191153      1.956078
      22     -0.326499     -1.342675     1.1143829       -0.5865       -1.2368       0.87583     0.6233621      -0.43495     1.4075400      0.129101
      23       1.61694     0.5027408    1.55880554        0.1094       -1.2197       2.44936      -0.54577      -0.19883     -0.700398      -0.20339
      24    0.24266944     0.2018301       0.66102      1.792158       -0.1204      -1.23312    -1.1823181     -0.665754     -1.674195     0.8250298
      25     -0.498213      -0.31098       -0.0018      -1.39662       -0.8613       0.67471    0.61853913      -0.44317    1.81053491      -1.30572
      26   -0.3449e-05     -0.230839      -2.79308       1.93752       0.36633      -1.04458    2.05117344     0.5856620    0.42952614      -0.60699
      27      0.106222     -1.525680    0.79502609      -0.37443       0.13404       1.20205     0.2847481      0.262467     0.2764993      -0.73327
      28    0.83600471     1.5433591     0.7588056      0.884908       -0.8772      -0.86778     -1.440876       1.23225     -0.254179      1.399843
      29    -0.7819116     -0.437508    0.09542508          -192       0.92145       0.06075    0.21112475      0.016527     0.1771877      -1.11647
      30     0.0809271     -0.186578     -0.056824       0.49233       -0.6806       -0.0845    -0.2973618      0.417302     0.7847706      -0.95542
      31    0.58591043     2.0657833      -1.47115        -0.830       -0.8805      -0.27909      1.622849     0.0133526     -0.694693      0.621803
      32    -0.5998045     1.1234121       0.30526       1.38877       -0.6613      3.030857    0.82458462     0.6545801     -0.051188       -0.7255
      33      -0.86776       -0.1359     -0.797269       0.28267       -0.8260       0.62108    0.95612170      -0.70584     1.1926860      -0.23794
      34      1.155287      0.438166      1.122328       -0.9970       -0.1067       1.45142      -0.61803      -2.03720     -1.942589      -2.50644
      35     -2.114163     -0.411639     1.2785280       -0.4422       0.32352       -0.1099     0.0085489      -0.16819     -0.174180      0.461164
      36  -1.175982671     1.0101271       0.92001      -0.19505       0.80539      -0.70134     -0.537223      0.156263      -0.19022      -0.44873
      37     -0.672448      -0.55749      0.939168      -1.94332       0.35249       -0.2364     0.7278134      0.515073     -2.782534      0.584646
      38     0.3242742      0.021862     -0.468673      0.853281       -0.4130       1.83471     0.5643828      2.137828     -0.785533      -1.75592
      39     0.7147895     0.8527040   0.035360097       -1.5387       -0.4478        0.6179     -0.184176      -0.11598     -0.175458       -0.9339
      40      -0.53302     -1.426555      1.767959      -0.47537       0.47761       -1.0218    0.79452823      -1.87316    0.92061511      -0.03536
      41     2.1106050     -1.306534       0.07638      0.367231       1.23289      -0.42285      0.086464     -2.142466     -0.830168      0.451615
      42    1.10417432     -0.281736       2.05635       1.76024       -0.0606      -2.41350     -1.777566     -0.777858     1.1158411      0.310272
      43     -2.094247      -0.22876    1.61336137       -0.3748       -0.7499       2.05462    0.05340953      -0.47915     0.3501671      0.017164
      44     -0.429142     1.2084563       1.11570       0.84086       -0.1028      1.146900     -0.049702     0.4666432     1.0336868      0.808844
      45    1.78975468     0.4512840      -1.68405       -1.1601        1.3501      -0.33128     0.3865391     -0.851455     1.0008814     -0.384832
      46      1.458108      -0.53223    1.11813339       0.67439       -0.7223       1.09899    -0.9016344      -0.82246      0.721711      -0.62534
