Label  Volume(voxels)SurfArea(mm^2) Eccentricity   Elongation     Orientation    Centroid                      Axes Length                   Bounding Box                  
1      56966     1.62434        -0.61175       -0.5281        -1.072         [0.86540, -2.3015, 1.74481]   [-0.7612, 0.3190, -0.2493]    [89, 145, 161, 203, 43, 129]  
2      10712     1.4621         -2.06014       -0.3224        -0.3840        [1.13376, -1.0998, -0.1724]   [-0.877, 0.04221, 0.58281]    [116, 136, 100, 155, 53, 93]  
3      23742     -1.1006        1.144723       0.90159        0.50249        [0.90085, -0.6837, -0.1228]   [-0.935, -0.2678, 0.53035]    [89, 119, 115, 186, 90, 152]  
4      22827     -0.6916        -0.39675       -0.6871        -0.8452        [-0.6712, -0.0126, -1.1173]   [0.23441, 1.65980, 0.74204]   [112, 143, 122, 168, 90, 142] 
5      5388      -0.1918        -0.88762       -0.7471        1.692454       [0.05080, -0.6369, 0.19091]   [2.10025, 0.1201, 0.61720]    [121, 147, 146, 165, 63, 100] 
6      6079      0.30017        -0.35224       -1.1425        -0.34934       [-0.2088, 0.58662, 0.83898]   [0.93110, 0.28558, 0.88514]   [123, 149, 133, 151, 69, 105] 
7      36579     -0.7543        1.25286        0.51292        -0.29809       [0.48851, -0.0755, 1.13162]   [1.51981, 2.18557, -1.3964]   [89, 153, 91, 141, 72, 156]   
8      17085     -1.4441        -0.50446       0.16003        0.8761689      [0.31563, -2.0222, -0.306]    [0.82797, 0.23009, 0.7620]    [109, 152, 128, 152, 21, 72]  
9      2047      -0.2223        -0.20075       0.18656        0.41005        [0.19829, 0.11900, -0.6706]   [0.37756, 0.12182, 1.12948]   [138, 154, 116, 133, 50, 77]  
10     3166      1.19891        0.185156       -0.3752        -0.6387        [0.42349, 0.07734, -0.34]     [0.0435, -0.6200, 0.69803]    [140, 158, 86, 116, 66, 90]   
11     3564      -0.447         1.22450        0.40349        0.59357        [-1.0949, 0.16938, 0.74055]   [-0.9537, -0.2662, 0.03261]   [137, 157, 116, 131, 36, 66]  
12     11046     -1.3731        0.315159       0.84616        -0.8595        [0.35054, -1.3122, -0.0386]   [-1.6157, 1.12141, 0.4089]    [137, 161, 83, 119, 41, 77]   
13     7286      -0.0246        -0.77516       1.27375        1.967101       [-1.8579, 1.2361, 1.62765]    [0.33801, -1.1992, 0.86334]   [136, 159, 63, 85, 57, 87]    
14     2681      -0.1809        -0.60392       -1.2300        0.55053        [0.79280, -0.6235, 0.52057]   [-1.1443, 0.80186, 0.04656]   [129, 151, 116, 130, 22, 44]  
15     9434      -0.1865        -0.1017        0.86888        0.75041        [0.52946, 0.13770, 0.07782]   [0.61838, 0.23249, 0.68255]   [132, 159, 83, 118, 28, 58]   
16     6804      -0.3101        -2.43483       1.03882        2.186979       [0.44136, -0.1001, -0.1364]   [-0.1190, 0.01740, -1.122]    [132, 158, 62, 85, 39, 70]    
17     28125     -0.5170        -0.9970        0.24879        -0.29664       [0.49521, -0.1747, 0.98633]   [0.21353, 2.19069, -1.8963]   [90, 156, 78, 126, 84, 155]   
18     10931     -0.6469        0.901486       2.52832        -0.24863       [0.04366, -0.2263, 1.33145]   [-0.2873, 0.68006, -0.3198]   [98, 135, 69, 91, 110, 150]   
19     6937      -1.2725        0.313547       0.50318        1.293225       [-0.1104, -0.6173, 0.56276]   [0.24073, 0.28066, -0.0731]   [125, 157, 87, 107, 92, 128]  
20     8371      1.16033        0.369492       1.90465        1.11105        [0.65904, -1.6274, 0.602]     [0.42028, 22, 0.81095]        [121, 158, 75, 90, 79, 131]   
21     7781      1.04444        -0.40087       0.82400        -0.5623        [1.95487, -1.3319, -1.7606]   [-1.6507, -0.8905, -1.1191]   [124, 157, 65, 79, 84, 130]   
22     40425     1.95607        -0.32649       -1.3426        1.11438        [-0.5865, -1.2368, 0.875]     [0.6233, -0.4349, 1.40754]    [94, 153, 35, 71, 80, 147]    
23     18348     0.12910        1.616949       0.50274        1.558805       [0.1094, -1.2197, 2.44936]    [-0.5457, -0.1988, -0.7003]   [117, 155, 34, 66, 52, 90]    
24     6439      -0.2033        0.242669       0.20183        0.66102        [1.79215, -0.120, -1.2331]    [-1.182, -0.665, -1.6741]     [89, 116, 34, 66, 69, 94]     
25     3853      0.82502        -0.49821       -0.3109        -0.0018        [-1.3966, -0.8613, 0.67471]   [0.61853, -0.4431, 1.81053]   [90, 102, 157, 182, 40, 70]   
26     5775      -1.3057        -0.34498       -0.2308        -2.79308       [1.93752, 0.36633, -1.0445]   [2.05117, 0.58566, 0.42952]   [89, 102, 114, 136, 111, 148] 
27     5422      -0.606         0.106222       -1.5256        0.79502        [-0.3744, 0.13404, 1.20205]   [0.2847, 0.26246, 0.27649]    [90, 104, 136, 159, 40, 72]   
28     12086     -0.7332        0.836004       1.5433         0.75880        [0.88490, -0.8772, -0.8677]   [-1.4408, 1.23225, -0.2541]   [89, 103, 134, 185, 57, 126]  
29     9920      1.39984        -0.78191       -0.4375        0.09542        [0.9214, 0.06075, 0.21112]    [0.01652, 0.17718, -1.1164]   [90, 102, 111, 173, 63, 118]  
30     9801      0.08092        -0.18657       -0.0568        0.49233        [-0.6806, -0.0845, -0.2973]   [0.41730, 0.78477, -0.9554]   [89, 109, 72, 113, 68, 121]   
31     24232     0.58591        2.065783       -1.4711        -0.8301        [-0.8805, -0.2790, 1.62284]   [0.01335, -0.6946, 0.62180]   [89, 115, 41, 93, 75, 145]    
32     5505      -0.5998        1.123412       0.30526        1.388779       [-0.6613, 3.03085, 0.82458]   [0.65458, -0.051, -0.7255]    [89, 112, 34, 60, 88, 118]    
33     15578     -0.8677        -0.13597       -0.7972        0.282675       [-0.8260, 0.62108, 0.95612]   [-0.7058, 1.19268, -0.237]    [98, 143, 133, 164, 41, 76]   
34     4704      1.15528        0.438166       1.12232        -0.9970        [-0.1067, 1.45142, -0.6180]   [-2.0372, -1.9425, -2.5064]   [101, 125, 102, 129, 29, 52]  
35     3340      -2.1141        -0.41163       1.27852        -0.44222       [0.32352, -0.109, 0.00854]    [-0.1681, -0.1741, 0.46116]   [100, 125, 85, 104, 40, 70]   
36     14980     -1.1759        1.010127       0.9200         -0.1950        [0.80539, -0.7013, -0.537]    [0.15626, -0.1902, -0.4487]   [89, 122, 33, 87, 52, 84]     
37     2827      -0.6724        -0.55749       0.93916        -1.9433        [0.35249, -0.2364, 0.72781]   [0.51507, -2.7825, 0.58464]   [111, 131, 115, 130, 20, 43]  
38     8312      0.32427        0.021862       -0.4686        0.85328        [-0.4130, 1.83471, 0.564]     [2.13782, -0.7855, -1.7559]   [111, 138, 82, 118, 26, 61]   
39     5870      0.71478        0.852704       0.03536        -1.5387        [-0.447, 0.61798, -0.1841]    [-0.1159, -0.1754, -0.9339]   [109, 140, 62, 85, 43, 66]    
40     8425      -0.5330        -1.42655       1.76795        -0.47537       [0.47761, -1.0218, 0.79452]   [-1.8731, 0.9206, -0.035]     [100, 139, 35, 65, 51, 70]    
41     2832      2.11060        -1.30653       0.07638        0.36723        [1.23289, -0.4228, 0.08646]   [-2.1424, -0.8301, 0.45161]   [118, 139, 136, 156, 66, 87]  
42     7671      1.10417        -0.28173       2.05635        1.76024        [-0.0606, -2.4135, -1.7775]   [-0.7778, 1.11584, 0.31027]   [123, 153, 105, 137, 68, 96]  
