Label  Volume(voxels)SurfArea(mm^2) Eccentricity   Elongation     Orientation    Centroid                      Axes Length                   Bounding Box                  
1      51033     1.62434        -0.6117        -0.5281        -1.072         [0.86540, -2.3015, 1.7448]    [-0.7612, 0.31903, -0.2493]   [134, 187, 142, 196, 46, 125] 
2      8958      1.46210        -2.0601        -0.3224        -0.3840        [1.13376, -1.0998, -0.1724]   [-0.8778, 0.04221, 0.58281]   [161, 182, 95, 152, 51, 83]   
3      22797     -1.1006        1.144723       0.90159        0.50249        [0.90085, -0.6837, -0.1228]   [-0.9357, -0.2678, 0.53035]   [134, 167, 85, 175, 90, 140]  
4      21464     -0.6916        -0.39675       -0.6871        -0.8452        [-0.6712, -0.0126, -1.1173]   [0.23441, 1.65980, 0.74204]   [157, 189, 99, 156, 88, 133]  
5      4448      -0.1918        -0.88762       -0.7471        1.69245        [0.05080, -0.6369, 0.1909]    [2.10025, 0.12015, 0.61720]   [165, 191, 139, 164, 64, 95]  
6      5219      0.30017        -0.35224       -1.1425        -0.34934       [-0.2088, 0.58662, 0.83898]   [0.93110, 0.2855, 0.88514]    [169, 194, 122, 148, 67, 99]  
7      31891     -0.7543        1.252868       0.51292        -0.2980        [0.48851, -0.0755, 1.13162]   [1.5198, 2.18557, -1.3964]    [140, 199, 66, 137, 68, 140]  
8      15133     -1.4441        -0.50446       0.16003        0.87616        [0.31563, -2.0222, -0.3062]   [0.82797, 0.23009, 0.76201]   [158, 198, 134, 163, 23, 68]  
9      1770      -0.2223        -0.20075       0.18656        0.41005        [0.1982, 0.11900, -0.6706]    [0.377, 0.12182, 1.12948]     [184, 199, 118, 137, 48, 71]  
10     2464      1.19891        0.185156       -0.3752        -0.6387        [0.42349, 0.07734, -0.3438]   [0.04359, -0.6200, 0.69803]   [188, 205, 85, 119, 59, 77]   
11     3001      -0.4471        1.224507       0.40349        0.59357        [-1.0949, 0.16938, 0.74055]   [-0.9537, -0.2662, 0.03261]   [183, 203, 120, 142, 36, 61]  
