   Label          Mean         Sigma      Skewness      Kurtosis       Entropy           Sum          5th%         95th%           Min           Max
       1   1.624345363       -0.6117      -0.52817      -1.07296        0.8654      -2.30153     1.7448117      -0.76120     0.3190390      -0.24937
       2      1.462107      -2.06014     -0.322417       -0.3840       1.13376       -1.0998    -0.1724282      -0.87785     0.0422137       0.58281
       3     -1.100619     1.1447237      0.901590       0.50249       0.90085      -0.68372     -0.122890     -0.935769     -0.267888       0.53035
       4     -0.691660     -0.396753        -0.687      -0.84520        -0.671      -0.01266     -1.117310    0.23441569     1.6598021      0.742044
       5    -0.1918355      -0.88762      -0.74715      1.692454       0.05080      -0.63699      0.190915      2.100255     0.1201589      0.617203
       6     0.3001703      -0.35224    -1.1425181      -0.34934       -0.2088      0.586623     0.8389834     0.9311020     0.2855873      0.885141
       7    -0.7543979     1.2528681      0.512929       -0.2980       0.48851      -0.07557     1.1316293     1.5198168     2.1855754      -1.39649
       8     -1.444113      -0.50446     0.1600370       0.87616       0.31563      -2.02220      -0.30620     0.8279746     0.2300947      0.762011
       9     -0.222328     -0.200758      0.186561       0.41005       0.19829       0.11900     -0.670662    0.37756378     0.1218212    1.12948390
      10    1.19891787     0.1851564    -0.3752849       -0.6387       0.42349       0.07734    -0.3438536     0.0435968     -0.620000      0.698032
      11     -0.447128      1.224507      0.403491      0.593578       -1.0949      0.169382     0.7405564     -0.953700     -0.266218      0.032614
      12     -1.373117     0.3151593     0.8461606      -0.85951       0.35054       -1.3122     -0.038695      -1.61577     1.1214177      0.408900
      13     -0.024616     -0.775161      1.273755       1.96710       -1.8579       1.23616    1.62765075      0.338011    -1.1992680      0.863345
      14    -0.1809203     -0.603920      -1.23005      0.550537       0.79280      -0.62353     0.5205763      -1.14434     0.8018610      0.046567
      15     -0.186569      -0.10174      0.868886       0.75041       0.52946       0.13770     0.0778211      0.618380     0.2324945      0.682551
      16      -0.31011     -2.434837      1.038824      2.186979       0.44136       -0.1001      -0.13644      -0.11905     0.0174094      -1.12201
      17     -0.517094     -0.997026      0.248799      -0.29664       0.49521      -0.17470      0.986335     0.2135339     2.1906997      -1.89636
      18     -0.646916     0.9014868      2.528325      -0.24863       0.04366      -0.22631     1.3314571    -0.2873078     0.6800698      -0.31980
      19     -1.272558     0.3135477      0.503184      1.293225       -0.1104      -0.61736     0.5627610     0.2407370     0.2806650      -0.07311
      20      1.160338      0.369492    1.90465870       1.11105       0.65904       -1.6274     0.6023192     0.4202822      0.810951      1.044442
      21    -0.4008781     0.8240056     -0.562305      1.954878       -1.3319      -1.76068     -1.650721     -0.890555     -1.119115      1.956078
      22     -0.326499     -1.342675      1.114382      -0.58652       -1.2368      0.875838     0.6233621     -0.434956     1.4075400      0.129101
      23     1.6169495     0.5027408      1.558805      0.109402        -1.219       2.44936    -0.5457741      -0.19883      -0.70039      -0.20339
      24    0.24266944     0.2018301      0.661020      1.792158       -0.1204      -1.23312     -1.182318      -0.66575     -1.674195      0.825029
      25     -0.498213     -0.310984      -0.00189      -1.39662       -0.8613       0.67471    0.61853913       -0.4431    1.81053491      -1.30572
      26    -0.3449872        -0.230        -2.793       1.93752       0.36633       -1.0445     2.0511734      0.585662     0.4295261      -0.60699
      27      0.106222      -1.52568      0.795026       -0.3744        0.1340        1.2020     0.2847481      0.262467    0.27649930      -0.73327
      28     0.8360047      1.543359      0.758805      0.884908       -0.8772       -0.8677      -1.44087      1.232253     -0.254179      1.399843
      29     -0.781911      -0.43750     0.0954250      0.921450       0.06075       0.21112     0.0165275       0.17718     -1.116470      0.080927
      30     -0.186578      -0.05682       0.49233      -0.68067       -0.0845      -0.29736     0.4173020     0.7847706     -0.955425      0.585910
      31    2.06578332     -1.471156     -0.830171       -0.8805       -0.2790      1.622849     0.0133526      -0.69469     0.6218035      -0.59980
      32     1.1234121     0.3052670     1.3887793       -0.6613       3.03085       0.82458    0.65458015      -0.05118     -0.725597      -0.86776
      33      -0.13597      -0.79726      0.282675       -0.8260       0.62108       0.95612    -0.7058405      1.192686     -0.237941      1.155287
      34     0.4381663     1.1223283     -0.997019       -0.1067       1.45142       -0.6180     -2.037201      -1.94258      -2.50644        -2.114
      35     -0.411639     1.2785280      -0.44222       0.32352       -0.1099       0.00854     -0.168198      -0.17418     0.4611640      -1.17598
      36    1.01012717     0.9200179      -0.19505      0.805393         -0.70      -0.53722     0.1562638      -0.19022     -0.448738       -0.6724
      37    -0.5574947      0.939168      -1.94332      0.352494        -0.236       0.72781     0.5150736      -2.78253       0.58464      0.324274
      38      0.021862      -0.46867     0.8532812       -0.4130       1.83471       0.56438     2.1378280      -0.78553     -1.755925      0.714789
      39     0.8527040      0.035360      -1.53879      -0.44789       0.61798       -0.1841   -0.11598518      -0.17545    -0.9339146      -0.53302
      40     -1.426555     1.7679599     -0.475372       0.47761        -1.021       0.79452    -1.8731609     0.9206151     -0.035367      2.110605
      41      -1.30653      0.076380     0.3672318      1.232899       -0.4228       0.08646     -2.142466      -0.83016    0.45161595      1.104174
      42     -0.281736     2.0563555     1.7602492       -0.0606       -2.4135       -1.7775    -0.7778588      1.115841     0.3102722      -2.09424
      43     -0.228765     1.6133613     -0.374804        -0.749       2.05462       0.05340    -0.4791570      0.350167     0.0171647      -0.42914
      44     1.2084563     1.1157018      0.840861       -0.1028       1.14690       -0.0497     0.4666432     1.0336868     0.8088443      1.789754
      45     0.4512840     -1.684059      -1.16017       1.35010         -0.33       0.38653    -0.8514556      1.000881     -0.384832      1.458108
      46      -0.53223      1.118133      0.674396       -0.7223       1.09899       -0.9016     -0.822467      0.721711    -0.6253420      -0.59384
      47     -0.343900       -1.0001      1.044994      0.608514       -0.0693       -0.1083    0.45015551      1.765335     0.8709698      -0.50845
      48     0.7774192     -0.118771      -0.19899      1.866471       -0.4189        -0.479    -1.9521052      -1.40232    0.45112293      -0.69492
      49    0.51541380      -1.11487       -0.7673      0.674570       1.46089      0.592472     1.1978308      1.704594     1.0400891      -0.91844
      50    -0.1053447     0.6301956      -0.41484       0.45194       -1.5791      -0.82862     0.5288797     -2.237086     -1.107712       -0.0177
      51     -1.719394     0.0571209      -0.79954       -0.2915       -0.2589      0.189293      -0.56378    0.08968640     -0.601156      0.556073
      52      1.693809     0.1968697     0.1698692      -1.16400        0.6933      -0.75806     -0.808847     0.5574394     0.1810387     1.1071754
      53     1.4428769     -0.539681      0.128376      1.760415        0.9665       0.71304    1.30620606      -0.60460     0.6365834      1.409253
      54    1.62091228     -0.806184     -0.251674       0.38271       -0.2889      -0.39181     0.6840013   -0.35340998       -1.7879     0.3618473
      55     -0.424492     -0.731530      -1.56573       1.01382       -2.2271      -1.69933     -0.275846     1.2289555     1.3097059      -1.15498
      56     -0.177632      -1.51045      1.011207      -1.47656       -0.1431      1.032983     -0.222414      1.470160     -0.870008      0.369190
      57      0.853282     -0.139711       1.38631       0.54812       -1.6374      3.958602     0.6486436    0.10734329     -1.398812    0.08176781
      58    -0.4599428     0.6443536      0.371670       1.85300       0.14225      0.513505     0.3724568      -0.14848     -0.183400      1.101000
      59    0.78002713     -0.629441     -1.113436       -0.0674       1.16143      -0.02752     1.7464350     -0.775070     0.1416405      -2.51630
      60    -0.5956678     -0.309121       0.51093       1.71066       0.03494      1.453917     0.6616810      0.986352     -0.466154      1.384991
      61     -1.072964     0.4951586      -0.95206      -0.51814       -1.4614       -0.5163    0.35111689      -0.06877    -1.3477649      1.470739
      62     0.3372209     1.0080654      0.785226      -0.66486       -1.9450       -0.9154    1.22515584      -1.05354    0.81604368      -0.61240
      63     0.3931092     -1.823919       1.16707       -0.0396         0.885       0.18986    0.79806379      -0.10193      0.743356      -1.50957
      64      -1.08071     0.7254740      -0.03917      -0.22875       -0.1796       0.50172     -0.593343      0.510307     -0.915791      -0.40725
      65    0.98495167     1.0712524     -1.097154       0.83863         -1.03      0.733023     -1.898812     -1.117110     -0.508972      -0.16648
      66     1.4236144     0.9039991    1.57546790       1.20660       -0.2828      -0.26632     1.0689716    0.04037143     -0.156993     -1.335202
      67    -0.1064601     -2.790996      -0.45611      -0.97989       0.69257      -0.47867      -0.32905   1.347105464     -1.049067     0.3166588
      68    -1.8952669     0.0897291      0.410265      0.859870       -0.8986      0.319656     0.3181541    -0.0192316     0.1500162     0.4635343
      69    0.39788042      -0.99601      -1.19586      2.505980       1.91979      -1.39169     0.4502177    0.62743708     0.7513372     0.1403954
      70     -0.926871     -0.182420      -0.49112       0.13437       -0.2683      -0.13167     1.0185524    1.23055819      -1.18110      -0.45993
      71     -0.790799     1.2237222       -0.0593      1.448989       -0.4775       0.02599    -1.3486964        1.3025     -0.362612      -1.48515
      72     -0.592461     -2.304907       -0.0318      0.112487       0.28807      1.498108     -0.300976      0.807455     0.3122386      -0.19332
      73     -2.076802     0.9475011       -0.5039      0.017955       -1.2704       0.28299    0.10803081      0.029417     -0.134793      1.049218
      74    0.96622086     0.7259168       3.32107       -0.6002       -0.3795      -1.01480     0.4359861     -0.687487     -2.698361      -1.21333
      75     0.0722518      1.009787      -1.55694       -0.6124       -0.1393       -0.7285     0.5311637      0.004000     0.3212659      -0.72521
      76    1.53653632     -0.000375      1.293549       -0.4389       0.59003      -0.67938     -0.950909     -0.704350     -0.045866      -0.21873
      77     1.5392070      -1.14870       -1.0903       1.70018       0.60878       -1.8814     0.4972690      0.237332     -2.144444      -0.36956
      78     -0.017454      0.731402      0.954495      0.095746       1.03345      -0.14627     -0.857496     -0.934181     0.5426452      -1.95816
      79    0.67780757     -1.106573       -0.3592      0.505381       1.21794      -1.94068     -0.806178     0.0490616     -0.596086      0.861623
      80    -2.0863905      0.361801      0.425920      0.049080       1.10223       -1.2295     1.1086167     -0.702920     0.7255505      -0.32420
      81    0.81434312      0.780469     -1.464053       -0.1544       -0.0924      -0.23787     -0.755662      1.851437     0.2090966      1.555015
      82      -0.56914       -1.0617      0.132247      -0.56323       2.39014       0.24542     1.1525991      -0.22423     -0.326061      -0.03091
      83    0.35571726     0.8495868      -0.12215      -0.68085       -1.0678      -0.07667     0.5729627      0.457947     -0.017817      -0.60013
      84      0.146765     0.5718048      -0.03681       0.11236       -0.1505       0.91549    -0.4382002      0.185535     0.3944280      0.725522
      85     1.4958847     0.6754538      0.599213      -1.47023       0.60640       2.29371    -0.8300109      -1.01951     -0.214653      1.021248
